ID	tweet	label	cleaned_text	translated
sw_train_00022	So wazee wanawanyanyasa hadi wajeda sio sisi raia tu sijapenda Me nawaaminia sana wajedasiku za mbeleni najua hamtotuangusha wanetu na mtakuwa mmechukizwa sana ila basi tu	negative	So wazee wanawanyanyasa hadi wajeda sio sisi raia tu sijapenda Me nawaaminia sana wajedasiku za mbeleni najua hamtotuangusha wanetu na mtakuwa mmechukizwa sana ila basi tu	So the elders abuse them until the jeda
sw_train_00023	Me mwenyewe linanishinda kuliandika ila nalikumbukaumeniita jina langu nikaogopa	negative	Me mwenyewe linanishinda kuliandika ila nalikumbukaumeniita jina langu nikaogopa	Me itself fails me to write it but I remembered you called my name and I was scared
sw_train_00024	VIDEOWatu 6 wamepoteza maisha na wengine 30 kujeruhiwa kwenye mlipuko uliotokea leo katika kiwanda cha kemikali mashariki mwa China  CGTN	negative	VIDEOWatu  wamepoteza maisha na wengine  kujeruhiwa kwenye mlipuko uliotokea leo katika kiwanda cha kemikali mashariki mwa China  CGTN	Video have lost their lives and others injured in an explosion that occurred today at a chemical factory in eastern China CGTN
sw_train_00025	me nimepita asubuhi vimebomolewa vyoteina maana ni usiku na hawajahusishwahuu ni uhuni	negative	me nimepita asubuhi vimebomolewa vyoteina maana ni usiku na hawajahusishwahuu ni uhuni	Me I have passed in the morning.
sw_train_00026	Humu ndani kuna watu wana madini mengi sana shida ni kwamba ukiwaomba waziteme watakuzungusha Bora uweke notification on	negative	Humu ndani kuna watu wana madini mengi sana shida ni kwamba ukiwaomba waziteme watakuzungusha Bora uweke notification on	In here there are people who have a lot of minerals the problem is that if you ask them they will turn around you better place notification on
sw_train_00027	Muda Huu Kuna Mjinga Mmoja Yupo Ananusa Boxer Yake Kama Haina Harufu Avae Tena Baada Ya Kuivaa Siku 6	negative	Muda Huu Kuna Mjinga Mmoja Yupo Ananusa Boxer Yake Kama Haina Harufu Avae Tena Baada Ya Kuivaa Siku	This time there is one stupid one who smells his boxer if it doesn't smell again after wearing the day
sw_train_00028	Hakuna mtandao wa kijamii ambao ni salama kwa sasa Walipoanzisha facebook twitter nakadhalika ikiwemo mtandao wa L	negative	Hakuna mtandao wa kijamii ambao ni salama kwa sasa Walipoanzisha facebook twitter nakadhalika ikiwemo mtandao wa L	No social network is currently safe when they set up facebook twitter and so on, including the l network
sw_train_00029	Halafu kuna mwamba wa zamani wa Man United kakosa penati leo hakuna pa kujifichia msimu huu	negative	Halafu kuna mwamba wa zamani wa Man United kakosa penati leo hakuna pa kujifichia msimu huu	Then there is a former Man United rock missed the penalties today there is nowhere to hide this season
sw_train_00030	Wanafunzi wenye ulemavu wakwamishwa na miundombinu Lindi Klik	negative	Wanafunzi wenye ulemavu wakwamishwa na miundombinu Lindi Klik	Students with disabilities are interrupted by infrastructure Lindi Klik
sw_train_00031	Kama lengo lilikuwa ni kututisha na kutukatisha tamaa wananchi katika harakati za kupigania mabadiliko kutoka katika utawa	negative	Kama lengo lilikuwa ni kututisha na kutukatisha tamaa wananchi katika harakati za kupigania mabadiliko kutoka katika utawa	If the goal was to intimidate and discourage citizens in the struggle for change from monk
sw_train_00032	Ile msg ya sizioni siku zangu si uwa inakuogopesha sasa kwanini hupendi kutumia	negative	Ile msg ya sizioni siku zangu si uwa inakuogopesha sasa kwanini hupendi kutumia	The msg of not seeing my days is not frightening you now why you don't like to use
sw_train_00033	Mimi huwa sipendi kufanya kazi na ndugu zangu sababu ndugu wanalawama sana hawakubali kama nimeshakuwa Bosi  Kandi Baham	negative	Mimi huwa sipendi kufanya kazi na ndugu zangu sababu ndugu wanalawama sana hawakubali kama nimeshakuwa Bosi  Kandi Baham	I do not like to work with my brothers because the brothers are so sorry they don't agree if I have been boss Kandi Baham
sw_train_00034	Ni Mwaka Mmoja sasa tangu Jasiri Muongoza Njia Ruge Mutahaba atangulie ni kama Juzi tu Endelea kupumzika mahali pema peponi	negative	Ni Mwaka Mmoja sasa tangu Jasiri Muongoza Njia Ruge Mutahaba atangulie ni kama Juzi tu Endelea kupumzika mahali pema peponi	It's been a year now since the brave guides Ruge Mutahaba precedes it is just like yesterday.
sw_train_00035	Kila mtu akipata mita za ujazo chini ya 1700 maana yake tumeingia kwenye uhaba wa maji ikifika kwamba kila mtu anapata mit	negative	Kila mtu akipata mita za ujazo chini ya  maana yake tumeingia kwenye uhaba wa maji ikifika kwamba kila mtu anapata mit	When everyone gets cubic meters under which means we have got into water shortages when it comes to that everyone gets mit
sw_train_00036	Anatuambisha Sana Sisi Kama wasukuma wenzake Hatujapenda kabisa	negative	Anatuambisha Sana Sisi Kama wasukuma wenzake Hatujapenda kabisa	He is very much to us as his fellow Sukuma we haven't liked at all
sw_train_00037	Leo nimepika choroko Maana mambo naona yamevurugika kweli na waHindi hawataki choroko zetu	negative	Leo nimepika choroko Maana mambo naona yamevurugika kweli na waHindi hawataki choroko zetu	Today I have cooked a quarry because things I see are really disrupted and the Indians do not want our crisis
sw_train_00038	Kabisawatu walimpinga kwa watu binafsi kufanya hili suala bila financial institution	negative	Kabisawatu walimpinga kwa watu binafsi kufanya hili suala bila financial institution	Absolutely people opposed him for individuals to make this issue without financial institution
sw_train_00039	Sehemu ya ripoti ya Mchunguzi Maalum Robert Mueller nchini Marekani juu ya kujihusisha kwa Urusi kwenye uchaguzi wa Urais wa mwaka 2016 inaonesha kuwa Rais Donald Trump alitaka kuudhibiti uchunguzi huo na kulazimisha kuondolewa kwa Mueller mwaka 2017	negative	Sehemu ya ripoti ya Mchunguzi Maalum Robert Mueller nchini Marekani juu ya kujihusisha kwa Urusi kwenye uchaguzi wa Urais wa mwaka  inaonesha kuwa Rais Donald Trump alitaka kuudhibiti uchunguzi huo na kulazimisha kuondolewa kwa Mueller mwaka	Part of the report of special investigator Robert Mueller in the United States on Russia's involvement in the annual presidential election shows that President Donald Trump wanted to control the investigation and forced the removal of Mueller
sw_train_00040	Watu wengi wanatumia mitandao ya kijamii Ila Sheria zake hawazijui na Wala hawataki kuzijua	negative	Watu wengi wanatumia mitandao ya kijamii Ila Sheria zake hawazijui na Wala hawataki kuzijua	Most people use social networks but its rules do not know and do not want to know them
sw_train_00041	Poleni sana wateja wetutunaifanyia kazi changamoto hiyo ya kuangalia slio kwa ujumla	negative	Poleni sana wateja wetutunaifanyia kazi changamoto hiyo ya kuangalia slio kwa ujumla	Very polished our customers are working on the challenge of looking at the SLIO in general
sw_train_00042	Nimepokea kwa masikitiko makubwa taarifa za kifo cha Rais Mstaafu na Baba wa Taifa la Zimbabwe Mzee Robert Mugabe Afrika i	negative	Nimepokea kwa masikitiko makubwa taarifa za kifo cha Rais Mstaafu na Baba wa Taifa la Zimbabwe Mzee Robert Mugabe Afrika i	I have received with great sadness reports of the death of retired President and Father of Zimbabwe Elder Robert Mugabe Africa I
sw_train_00043	Utabiri wa Hali ya Hewa wa siku tano na athari zinazoweza kutokea Umetolewa leo tarehe 25082019 na Mamlaka ya Hali ya	negative	Utabiri wa Hali ya Hewa wa siku tano na athari zinazoweza kutokea Umetolewa leo tarehe  na Mamlaka ya Hali ya	Five -day weather forecasts and potential impacts have been given today the date and authority of the state of the state
sw_train_00044	Nchi ya drama na matukio Ila hii kama ikidhihirika ni kweli basi ni kashfa kubwa sana kitaifa Mark my words Maswali ha	negative	Nchi ya drama na matukio Ila hii kama ikidhihirika ni kweli basi ni kashfa kubwa sana kitaifa Mark my words Maswali ha	The country of drama and events except this if it is revealed is true then it is a major national scandal mark my words questions ha
sw_train_00045	Naibu Rais Iran aambukizwa virusi vya corona Nigeria yaripoti kisa kimoja via	negative	Naibu Rais Iran aambukizwa virusi vya corona Nigeria yaripoti kisa kimoja via	Deputy President Iran is infected with Corona Nigeria reports one case via
sw_train_00046	Kuna story ambayo mke wangu hapendi kusimulia imekuwa ikimtesa sana Ipo hivi mke wangu ni mmoja wa watu waliozaliwa a	negative	Kuna story ambayo mke wangu hapendi kusimulia imekuwa ikimtesa sana Ipo hivi mke wangu ni mmoja wa watu waliozaliwa a	There is a story that my wife does not like to tell it has been torturing her so much that my wife is one of the people born
sw_train_00047	Aiseeee This is nonsense hivi ameongea baya gani mpaka mtu unaropokwa maneno yote hayo	negative	Aiseeee This is nonsense hivi ameongea baya gani mpaka mtu unaropokwa maneno yote hayo	Aiseeee this is nonsense so what bad has he spoke until someone is stuck in all those words
sw_train_00048	Mbinu mojawapo ya watawala ni kuwafanya watawaliwa kuona kwamba maadui wao wanatoka nje ili wapambane nao badala ya ku	negative	Mbinu mojawapo ya watawala ni kuwafanya watawaliwa kuona kwamba maadui wao wanatoka nje ili wapambane nao badala ya ku	One of the rulers is to make them governed to see that their enemies come out to fight them instead of
sw_train_00049	Unakuta wengine ndio kwanza wanapenda kukuona ukiwa tegemezi kwao	negative	Unakuta wengine ndio kwanza wanapenda kukuona ukiwa tegemezi kwao	You find others are the first to like to see you being dependent on them
sw_train_00050	umeme ambapo miradi ya usafirishaji kutokana na umbali huo inakuwa ni ya gharama sana Kutokana na kuwa mahitaji ja umeme yalikuwa tayari ni makubwa katika maeneo ambayo hata hayajafikiwa na gridi ya Taifa ililazimu kufanya miradi mbadala kwa ajili ya kufikisha umeme wa	negative	umeme ambapo miradi ya usafirishaji kutokana na umbali huo inakuwa ni ya gharama sana Kutokana na kuwa mahitaji ja umeme yalikuwa tayari ni makubwa katika maeneo ambayo hata hayajafikiwa na gridi ya Taifa ililazimu kufanya miradi mbadala kwa ajili ya kufikisha umeme wa	Electricity where shipping projects due to such distances are very costly since the demand for electricity was already high in areas that have not even reached the grid had to do alternative projects to convey electricity to the electricity
sw_train_00051	Tumeshavuna aibu yetu Olympic Tokyo  Waliokabidhiwa bendera wako wapi mpaka mtu kaamua kutusaidia kubeba Bendera	negative	Tumeshavuna aibu yetu Olympic Tokyo  Waliokabidhiwa bendera wako wapi mpaka mtu kaamua kutusaidia kubeba Bendera	We have reaped our shame Olympic Tokyo who were handed over to your flag until someone decides to help us carry the flag
sw_train_00052	Kuna kipindi rafiki yangu mmoja alikuwa ananitongozea girlfriend wangu Na alikuwa kabisa anajua mimi ndio natoka nae ht	negative	Kuna kipindi rafiki yangu mmoja alikuwa ananitongozea girlfriend wangu Na alikuwa kabisa anajua mimi ndio natoka nae ht	There was a time one of my friends was giving me my girlfriend and she was totally aware of I was coming from ht
sw_train_00053	Nyoka aina ya chatu ameingia katika gari la watalii kupitia magurudumu ya mbele ya gari hilo ambapo wageni waliokuwa wakitumia gari hilo wameonyesha kutokuwa na wasiwasi wowote Soma zaidi gtgt	negative	Nyoka aina ya chatu ameingia katika gari la watalii kupitia magurudumu ya mbele ya gari hilo ambapo wageni waliokuwa wakitumia gari hilo wameonyesha kutokuwa na wasiwasi wowote Soma zaidi gtgt	The Pythonian snake has entered a tourist car through the front wheels of the car where visitors used the car have shown no concern to read more gtgt
sw_train_00054	Inasikitisha sanahiyo ndio tanzaniapoleni	negative	Inasikitisha sanahiyo ndio tanzaniapoleni	It is very sad that is Tanzaniapole
sw_train_00055	Shame wanakatili watoto kwa mambo zao za kisiasa ni huupuzi kabisa	negative	Shame wanakatili watoto kwa mambo zao za kisiasa ni huupuzi kabisa	Shame are abusing children for their political affairs is absolutely disrespectful
sw_train_00056	Wakala wa Barabara Tanzania Tanroads umesema ujenzi wa daraja la mto Mkange mkoani Morogoro lililosombwa na maji utaanza leo usiku huu kwa ushirikiano na makandarasi wa ujenzi wa reli ya kisasa SGR	negative	Wakala wa Barabara Tanzania Tanroads umesema ujenzi wa daraja la mto Mkange mkoani Morogoro lililosombwa na maji utaanza leo usiku huu kwa ushirikiano na makandarasi wa ujenzi wa reli ya kisasa SGR	Tanzania Road Agency TANROADS said the construction of the Mkange river bridge in Morogoro in Morogoro Water will begin tonight in partnership with modern railway contractors SGR
sw_train_00057	Spika wa Bunge ametoa siku nne hadi Ijumaa kwa Serikali kuwasilisha taarifa ya kina kuhusu mauaji ya watoto yanayoendelea mkoani Njombe Waziri Jenista Mhagama aliliomba Bunge kutoa muda huo kwani Serikali inahitaji muda kutoa taarifa kamili itakayoelezea pia hatua walizochukua	negative	Spika wa Bunge ametoa siku nne hadi Ijumaa kwa Serikali kuwasilisha taarifa ya kina kuhusu mauaji ya watoto yanayoendelea mkoani Njombe Waziri Jenista Mhagama aliliomba Bunge kutoa muda huo kwani Serikali inahitaji muda kutoa taarifa kamili itakayoelezea pia hatua walizochukua	The Speaker of Parliament has given four days to Friday to the Government to submit a detailed statement on the ongoing child kill
sw_train_00058	Machozi Jasho na Damu	negative	Machozi Jasho na Damu	Tears sweat and blood
sw_train_00059	Mhusika mwenye picha au video hiyo mbali na makosa ya kisheria unayoyatenda kwa kusambaza Tambua kutuma picha za fara	negative	Mhusika mwenye picha au video hiyo mbali na makosa ya kisheria unayoyatenda kwa kusambaza Tambua kutuma picha za fara	The person with the image or video in addition to the legal errors you make by distributing the Send Sending Fara's photos
sw_train_00060	Watanzania wameonyesha hawakipendi Chama cha Mapinduzi sio jambo la kawaida katika kipindi hiki kigumu Watanzania wamenyi	negative	Watanzania wameonyesha hawakipendi Chama cha Mapinduzi sio jambo la kawaida katika kipindi hiki kigumu Watanzania wamenyi	Tanzanians have shown that they do not like the Revolutionary Party.
sw_train_00061	TAZAMA  Kivuko cha MV Nyerere kimezama ziwa Victoria	negative	TAZAMA  Kivuko cha MV Nyerere kimezama ziwa Victoria	Watch the MV Nyerere ferry sinking Lake Victoria
sw_train_00062	Wasichana wana changamoto nyingi zinazohusiana na hedhi mojawapo ni kutokupata taarifa sahihi pamoja na kunyanyapaliwa	negative	Wasichana wana changamoto nyingi zinazohusiana na hedhi mojawapo ni kutokupata taarifa sahihi pamoja na kunyanyapaliwa	Girls have many challenges related to menstruation is not getting accurate information as well as stigma
sw_train_00063	we me wa online sio offlinesema dharau zinazidi sana humukila kukicha halafu vibwana vidogo tu	negative	we me wa online sio offlinesema dharau zinazidi sana humukila kukicha halafu vibwana vidogo tu	we me online are not offline saying the scorn is too much to eat and then just the smallest borders
sw_train_00064	Mimi watani wangu hawajawahi kuvuka mipaka ila pimbi ambao sina hata mazoea ndo huwa wananichokonoa	negative	Mimi watani wangu hawajawahi kuvuka mipaka ila pimbi ambao sina hata mazoea ndo huwa wananichokonoa	My jokes have never crossed the boundaries except the pipes that I do not even have the same practices.
sw_train_00065	Yaani Coco huna akili ujinga wenu na yule ex wako mpumbavu umenicost sana hadi mimi hebu fikiria nimeweka bondi Gari y	negative	Yaani Coco huna akili ujinga wenu na yule ex wako mpumbavu umenicost sana hadi mimi hebu fikiria nimeweka bondi Gari y	Ie coco you don't mind your stupidity and your fool is so fool you have so much until I think I have put the car in the car y
sw_train_00066	Nikila hicho chakula minyoo yangu ya tumboni inaweza kuzimia kwa kupata mshituko maana Ni surprise kwao	negative	Nikila hicho chakula minyoo yangu ya tumboni inaweza kuzimia kwa kupata mshituko maana Ni surprise kwao	When I eat the food my stomach worms can be quenched by getting shocked because it's a surprise for them
sw_train_00067	Kama hawa waliowachukua kina ROMA na MONI ni POLISI na kuwapeleka kusikojulikana basi hii nchi ilipofika ni kubaya san	negative	Kama hawa waliowachukua kina ROMA na MONI ni POLISI na kuwapeleka kusikojulikana basi hii nchi ilipofika ni kubaya san	If the ones who took Rome and Moni are the police and send them anonymously then when this country arrived it was wrong San
sw_train_00068	Ninapo kosa hela washkaji wanatoweka ninaporekebisha pumbavu wanasogea	negative	Ninapo kosa hela washkaji wanatoweka ninaporekebisha pumbavu wanasogea	When I have a mistake, the hackers disappear when I fix the stupidity they move
sw_train_00069	Polisi Morogoro yadaka mtandao wa wizi yapo magari nyama na nyara	negative	Polisi Morogoro yadaka mtandao wa wizi yapo magari nyama na nyara	Police Morogoro is a robbery network with meat cars and trophies
sw_train_00070	Je Wajua Imekua ni kawaida kwa watu kufanya mapenzi kinyume na maumbile Kisheria ni kosa la jinai na adhabu yake ni k	negative	Je Wajua Imekua ni kawaida kwa watu kufanya mapenzi kinyume na maumbile Kisheria ni kosa la jinai na adhabu yake ni k	Do you know it has become common for people to have sex illegally. It is a criminal offense and its punishment is k
sw_train_00071	Hakika wameonesha udhaifu mkubwa kutokuwa na  common opposition front  Hii inamaanisha wamejigawa we	negative	Hakika wameonesha udhaifu mkubwa kutokuwa na  common opposition front  Hii inamaanisha wamejigawa we	They have certainly shown great weaknesses not having a common opposition Front. This means they have divided themselves
sw_train_00072	Simba mmeshinda kwasababu yanga ni pungufu Na refa pia ni wa kwenu siku zote kwanini asingetafutwa refa mwingine Wa final	negative	Simba mmeshinda kwasababu yanga ni pungufu Na refa pia ni wa kwenu siku zote kwanini asingetafutwa refa mwingine Wa final	The lion has won because Yanga is less and the referee is also for you always why he would not be sought for another final referee
sw_train_00073	Kumbe sio Serikali tu hadi wadau wengine wa maendeleo hawana imani na vijana	negative	Kumbe sio Serikali tu hadi wadau wengine wa maendeleo hawana imani na vijana	But not only the government until other development partners do not trust the youth
sw_train_00074	Rais wa serikali ya wanafunzi chuo kikuu cha Dar DARUSO  pamoja na viongozi wengine wamefukuzwa chuo kwa kusimamia haki	negative	Rais wa serikali ya wanafunzi chuo kikuu cha Dar DARUSO  pamoja na viongozi wengine wamefukuzwa chuo kwa kusimamia haki	Student Government President at the University of Dar DARUSO and other leaders have been expelled from the college for administering justice
sw_train_00075	Naibu waziri wa habari julianashonza ametoa onyo kwa baadhi ya wasanii wanaopiga picha za utupu	negative	Naibu waziri wa habari julianashonza ametoa onyo kwa baadhi ya wasanii wanaopiga picha za utupu	Deputy Minister of Information Julianashonza has issued a warning to some of the artists taking vacuum photos
sw_train_00076	Kondomu inanibana hii kauli imezika vijana wengi Sana kwa gonjwa la Ukimwi	negative	Kondomu inanibana hii kauli imezika vijana wengi Sana kwa gonjwa la Ukimwi	Condoms are compromising this statement has buried so many young people with AIDS epidemic
sw_train_00077	Sipendagi kabisa kucheza hii michezo ila leo nimeborekwaJaza hizo twende sawa Bank acct  Routing  Name on Debit C	negative	Sipendagi kabisa kucheza hii michezo ila leo nimeborekwaJaza hizo twende sawa Bank acct  Routing  Name on Debit C	I don't really like playing these games but today I have improved those go to the same bank acc routing name on debit c
sw_train_00078	Jana nilimwambia mtu imagine unakufa huu msimu imetoka bia tamuakasema hapana inauma	negative	Jana nilimwambia mtu imagine unakufa huu msimu imetoka bia tamuakasema hapana inauma	Yesterday I told someone Imagine you die this season has come out of the beer we said no it hurts
sw_train_00079	Wanaongoza ni wanawake wenyewe ubaguzi chuki na kukosa utu wa wanawake dhidi ya hawa wadada wa kazi is on anoth	negative	Wanaongoza ni wanawake wenyewe ubaguzi chuki na kukosa utu wa wanawake dhidi ya hawa wadada wa kazi is on anoth	The leading are women themselves prejudice and lack of women's personality against these sisters of work is on anoth
